2026-03-13 09:51:58,C:\WINDOWS\system32\cmd.exe - python  C:\Users\ogihara-hiroki\Desktop\work_logger.py
2026-03-13 09:52:08,Work Analysis Pro · Streamlit - Google Chrome
2026-03-13 09:52:19,Snipping Tool
2026-03-13 09:52:29,Google Gemini - Google Chrome
2026-03-13 09:52:39,Google Gemini - Google Chrome
2026-03-13 09:52:54,Google Gemini - Google Chrome
2026-03-13 09:53:04,Google Gemini - Google Chrome
2026-03-13 09:53:15,C:\Users\ogihara-hiroki\Desktop\logger_start.vbs - Notepad++
2026-03-13 09:53:25,*C:\Users\ogihara-hiroki\Desktop\logger_start.vbs - Notepad++
2026-03-13 09:57:01,C:\WINDOWS\system32\cmd.exe - python  C:\Users\ogihara-hiroki\Desktop\work_logger.py
2026-03-13 09:57:12,Google Gemini - Google Chrome
2026-03-13 09:57:22,Work Analysis Pro · Streamlit - Google Chrome
2026-03-13 09:58:04,Work Analysis Pro · Streamlit - Google Chrome
2026-03-13 09:58:15,Work Analysis Pro · Streamlit - Google Chrome
2026-03-13 09:58:25,Google Gemini - Google Chrome
2026-03-13 10:12:46,Visualization v00_asb - Google Chrome
2026-03-13 10:12:56,Visualization v00_asb - Google Chrome
2026-03-13 10:13:06,Visualization v00_asb - Google Chrome
2026-03-13 10:13:17,Visualization v00_asb - Google Chrome
2026-03-13 10:13:27,C:\ASB_Machine\PF36_2\ASB_Machine.apj/PF36_V4 - Automation Studio V 4.12.5.95 SP # AS Single License
2026-03-13 10:13:37,Visualization v00_asb - Google Chrome
2026-03-13 10:13:47,C:\ASB_Machine\PF36_2\ASB_Machine.apj/PF36_V4 - Automation Studio V 4.12.5.95 SP # AS Single License
2026-03-13 10:13:58,Visualization v00_asb - Google Chrome
2026-03-13 10:14:08,C:\ASB_Machine\PF36_2\ASB_Machine.apj/PF36_V4 - Automation Studio V 4.12.5.95 SP # AS Single License
2026-03-13 10:14:18,C:\ASB_Machine\PF36_2\ASB_Machine.apj/PF36_V4 - Automation Studio V 4.12.5.95 SP # AS Single License
2026-03-13 10:14:29,C:\ASB_Machine\PF36_2\ASB_Machine.apj/PF36_V4 - Automation Studio V 4.12.5.95 SP # AS Single License
2026-03-13 10:14:39,C:\ASB_Machine\PF36_2\ASB_Machine.apj/PF36_V4 - Automation Studio V 4.12.5.95 SP # AS Single License
2026-03-13 10:14:49,C:\ASB_Machine\PF36_2\ASB_Machine.apj/PF36_V4 - Automation Studio V 4.12.5.95 SP # AS Single License
2026-03-13 10:15:00,C:\ASB_Machine\PF36_2\ASB_Machine.apj/PF36_V4 - Automation Studio V 4.12.5.95 SP # AS Single License
2026-03-13 10:15:10,C:\ASB_Machine\PF36_2\ASB_Machine.apj/PF36_V4 - Automation Studio V 4.12.5.95 SP # AS Single License
2026-03-13 10:15:20,C:\ASB_Machine\PF36_2\ASB_Machine.apj/PF36_V4 - Automation Studio V 4.12.5.95 SP # AS Single License
2026-03-13 10:15:31,C:\ASB_Machine\PF36_2\ASB_Machine.apj/PF36_V4 - Automation Studio V 4.12.5.95 SP # AS Single License
2026-03-13 10:15:41,C:\ASB_Machine\PF36_2\ASB_Machine.apj/PF36_V4 - Automation Studio V 4.12.5.95 SP # AS Single License
2026-03-13 10:15:51,C:\ASB_Machine\PF36_2\ASB_Machine.apj/PF36_V4 - Automation Studio V 4.12.5.95 SP # AS Single License
2026-03-13 10:16:02,C:\ASB_Machine\PF36_2\ASB_Machine.apj/PF36_V4 - Automation Studio V 4.12.5.95 SP # AS Single License
2026-03-13 10:16:12,C:\ASB_Machine\PF36_2\ASB_Machine.apj/PF36_V4 - Automation Studio V 4.12.5.95 SP # AS Single License
2026-03-13 10:16:22,C:\ASB_Machine - エクスプローラー
2026-03-13 10:16:32,C:\ASB_Machine - エクスプローラー
2026-03-13 10:16:43,C:\ASB_Machine\PF36_2 - 作業ツリー - TortoiseGit
2026-03-13 10:16:53,C:\ASB_Machine\PF36_2\ASB_Machine.apj/PF36_V4 - Automation Studio V 4.12.5.95 SP # AS Single License
2026-03-13 10:17:03,C:\ASB_Machine\PF36_2\ASB_Machine.apj/PF36_V4 - Automation Studio V 4.12.5.95 SP # AS Single License
2026-03-13 10:17:14,C:\ASB_Machine\PF36_2\ASB_Machine.apj/PF36_V4 - Automation Studio V 4.12.5.95 SP # AS Single License
2026-03-13 10:17:24,\\sv-file\B.技術部\制御設計課\制御技術G\作業フォルダ\0722荻原大輝\00_よく使うフォルダ - エクスプローラー
2026-03-13 10:17:34,Visualization v00_asb - Google Chrome
2026-03-13 10:17:45,Visualization v00_asb - Google Chrome
2026-03-13 10:17:55,C:\ASB_Machine\PF36_2 - 作業ツリー - TortoiseGit
2026-03-13 10:18:27,Visualization v00_asb - Google Chrome
2026-03-13 10:18:38,G:\マイドライブ\PM-90 - エクスプローラー
2026-03-13 10:18:48,無題 - Google Chrome
2026-03-13 10:18:58,プログラム変更内容のご報告（V4.6.11→V4.6.12） - Google ドキュメント - Google Chrome
2026-03-13 10:19:31,ポータル - Google Chrome
2026-03-13 10:20:07,無題 - Google Chrome
2026-03-13 10:20:17,プログラム変更内容のご報告（V4.6.6→V4.6.601） - Google ドキュメント - Google Chrome
2026-03-13 10:20:28,プログラム変更内容のご報告（V4.6.6→V4.6.601） - Google ドキュメント - Google Chrome
2026-03-13 10:20:38,G:\マイドライブ\PF36 - エクスプローラー
2026-03-13 10:20:48,プログラム変更内容のご報告（V4.6.6→V4.6.601） - Google ドキュメント - Google Chrome
2026-03-13 10:20:58,プログラム変更内容のご報告（V4.6.6→V4.6.601） - Google ドキュメント - Google Chrome
2026-03-13 10:21:09,プログラム変更内容のご報告（V4.6.6→V4.6.601） - Google ドキュメント - Google Chrome
2026-03-13 10:21:19,プログラム変更内容のご報告（V4.6.6→V4.6.601） - Google ドキュメント - Google Chrome
2026-03-13 10:21:29,プログラム変更内容のご報告（V4.6.6→V4.6.601） - Google ドキュメント - Google Chrome
2026-03-13 10:21:40,プログラム変更内容のご報告（V4.6.6→V4.6.601） - Google ドキュメント - Google Chrome
2026-03-13 10:21:50,プログラム変更内容のご報告（V4.6.6→V4.6.601） - Google ドキュメント - Google Chrome
2026-03-13 10:22:01,プログラム変更内容のご報告（V4.6.6→V4.6.601） - Google ドキュメント - Google Chrome
2026-03-13 10:22:11,プログラム変更内容のご報告（V4.6.6→V4.6.601） - Google ドキュメント - Google Chrome
2026-03-13 10:22:22,プログラム変更内容のご報告（V4.6.6→V4.6.601） - Google ドキュメント - Google Chrome
2026-03-13 10:22:32,プログラム変更内容のご報告（V4.6.6→V4.6.601） - Google ドキュメント - Google Chrome
2026-03-13 10:22:42,プログラム変更内容のご報告（V4.6.6→V4.6.601） - Google ドキュメント - Google Chrome
